#options: 640x360 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=20 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.03 aq:12.74 tex:10649 mv:2163 misc:116 imb:920 pmb:0 smb:0 d:- ref:;
in:116 out:116 type:P dur:2 cpbdur:2 q:29.03 aq:21.10 tex:12770 mv:3335 misc:647 imb:156 pmb:251 smb:513 d:- ref:0 ;
in:117 out:117 type:P dur:2 cpbdur:2 q:29.03 aq:21.02 tex:31658 mv:4236 misc:490 imb:297 pmb:192 smb:431 d:- ref:0 ;
in:118 out:118 type:P dur:2 cpbdur:2 q:29.03 aq:20.37 tex:323 mv:104 misc:293 imb:2 pmb:21 smb:897 d:- ref:0 ;
in:119 out:119 type:P dur:2 cpbdur:2 q:29.03 aq:23.22 tex:17263 mv:3840 misc:561 imb:217 pmb:210 smb:493 d:- ref:0 ;
in:120 out:120 type:P dur:2 cpbdur:2 q:29.03 aq:21.80 tex:30446 mv:6131 misc:159 imb:710 pmb:209 smb:1 d:- ref:0 ;
in:121 out:121 type:P dur:2 cpbdur:2 q:29.03 aq:22.95 tex:23342 mv:4263 misc:571 imb:233 pmb:238 smb:449 d:- ref:0 ;
in:122 out:122 type:P dur:2 cpbdur:2 q:29.03 aq:21.63 tex:38132 mv:5261 misc:439 imb:375 pmb:224 smb:321 d:- ref:0 ;
in:123 out:123 type:P dur:2 cpbdur:2 q:29.03 aq:22.07 tex:531 mv:208 misc:373 imb:5 pmb:29 smb:886 d:- ref:0 ;
in:124 out:124 type:P dur:2 cpbdur:2 q:29.03 aq:23.59 tex:31949 mv:5066 misc:553 imb:353 pmb:224 smb:343 d:- ref:0 ;
in:125 out:125 type:P dur:2 cpbdur:2 q:29.03 aq:24.44 tex:30689 mv:4655 misc:408 imb:345 pmb:166 smb:409 d:- ref:0 ;
in:126 out:126 type:P dur:2 cpbdur:2 q:29.03 aq:22.28 tex:29779 mv:5989 misc:176 imb:773 pmb:143 smb:4 d:- ref:0 ;
in:127 out:127 type:P dur:2 cpbdur:2 q:29.03 aq:20.39 tex:28559 mv:4564 misc:373 imb:476 pmb:113 smb:331 d:- ref:0 ;
in:128 out:128 type:P dur:2 cpbdur:2 q:29.03 aq:19.41 tex:530 mv:150 misc:328 imb:3 pmb:27 smb:890 d:- ref:0 ;
in:129 out:129 type:P dur:2 cpbdur:2 q:29.03 aq:22.49 tex:15072 mv:3117 misc:555 imb:219 pmb:155 smb:546 d:- ref:0 ;
in:130 out:130 type:P dur:2 cpbdur:2 q:29.03 aq:23.46 tex:21082 mv:3259 misc:531 imb:192 pmb:194 smb:534 d:- ref:0 ;
in:131 out:131 type:P dur:2 cpbdur:2 q:29.03 aq:23.72 tex:20100 mv:3681 misc:499 imb:157 pmb:223 smb:540 d:- ref:0 ;
in:132 out:132 type:P dur:2 cpbdur:2 q:29.03 aq:20.22 tex:36844 mv:6307 misc:161 imb:748 pmb:172 smb:0 d:- ref:0 ;
in:133 out:133 type:P dur:2 cpbdur:2 q:29.03 aq:21.54 tex:590 mv:185 misc:385 imb:5 pmb:31 smb:884 d:- ref:0 ;
